0 -nan -nan -nan -nan
0.0414 10.142 8.36023 -1.24112 -11.3831
0.0415 10.1105 8.33655 -1.23339 -11.3439
0.0416 10.0791 8.31299 -1.22571 -11.3048
0.0417 10.0479 8.28955 -1.21807 -11.266
0.0418 10.0169 8.26621 -1.21047 -11.2273
0.0419 9.98596 8.24299 -1.20291 -11.1889
0.042 9.95522 8.21988 -1.1954 -11.1506
0.0421 9.92462 8.19688 -1.18793 -11.1126
0.0422 9.89418 8.174 -1.1805 -11.0747
0.0423 9.86389 8.15122 -1.17311 -11.037
0.0424 9.83375 8.12854 -1.16577 -10.9995
0.0425 9.80376 8.10598 -1.15846 -10.9622
0.0426 9.77391 8.08352 -1.1512 -10.9251
0.0427 9.74421 8.06117 -1.14397 -10.8882
0.0428 9.71466 8.03892 -1.13679 -10.8514
0.0429 9.68525 8.01678 -1.12965 -10.8149
0.043 9.65598 7.99474 -1.12254 -10.7785
0.0431 9.62686 7.97281 -1.11548 -10.7423
0.0432 9.59787 7.95097 -1.10845 -10.7063
0.0433 9.56903 7.92924 -1.10146 -10.6705
0.0434 9.54033 7.90761 -1.09451 -10.6348
0.0435 9.51176 7.88608 -1.0876 -10.5994
0.0436 9.48333 7.86465 -1.08073 -10.5641
0.0437 9.45504 7.84332 -1.07389 -10.5289
0.0438 9.42688 7.82208 -1.06709 -10.494
0.0439 9.39886 7.80094 -1.06033 -10.4592
0.044 9.37097 7.7799 -1.0536 -10.4246
0.0441 9.34322 7.75896 -1.04692 -10.3901
0.0442 9.31559 7.73811 -1.04026 -10.3559
0.0443 9.2881 7.71736 -1.03365 -10.3217
0.0444 9.26073 7.6967 -1.02707 -10.2878
0.0445 9.2335 7.67613 -1.02052 -10.254
0.0446 9.20639 7.65566 -1.01401 -10.2204
0.0447 9.17941 7.63528 -1.00753 -10.1869
0.0448 9.15256 7.61499 -1.00109 -10.1537
0.0449 9.12583 7.59479 -0.994687 -10.1205
0.045 9.09923 7.57469 -0.988315 -10.0875
0.0451 9.07275 7.55467 -0.981976 -10.0547
0.0452 9.04639 7.53474 -0.975672 -10.0221
0.0453 9.02016 7.5149 -0.969401 -9.98956
0.0454 8.99404 7.49515 -0.963163 -9.95721
0.0455 8.96805 7.47548 -0.956958 -9.92501
0.0456 8.94218 7.45591 -0.950786 -9.89296
0.0457 8.91642 7.43642 -0.944646 -9.86107
0.0458 8.89079 7.41701 -0.938539 -9.82933
0.0459 8.86527 7.39769 -0.932464 -9.79773
0.046 8.83987 7.37846 -0.92642 -9.76629
0.0461 8.81458 7.35931 -0.920409 -9.73499
0.0462 8.78941 7.34024 -0.914429 -9.70384
0.0463 8.76435 7.32126 -0.90848 -9.67283
0.0464 8.73941 7.30235 -0.902562 -9.64197
0.0465 8.71458 7.28353 -0.896675 -9.61125
0.0466 8.68986 7.2648 -0.890818 -9.58068
0.0467 8.66525 7.24614 -0.884992 -9.55024
0.0468 8.64076 7.22756 -0.879196 -9.51995
0.0469 8.61637 7.20906 -0.87343 -9.4898
0.047 8.59209 7.19065 -0.867693 -9.45978
0.0471 8.56792 7.17231 -0.861987 -9.42991
0.0472 8.54386 7.15405 -0.856309 -9.40017
0.0473 8.51991 7.13586 -0.850661 -9.37057
0.0474 8.49606 7.11776 -0.845042 -9.3411
0.0475 8.47231 7.09973 -0.839451 -9.31177
0.0476 8.44868 7.08178 -0.833889 -9.28257
0.0477 8.42514 7.0639 -0.828356 -9.2535
0.0478 8.40171 7.0461 -0.822851 -9.22456
0.0479 8.37839 7.02838 -0.817373 -9.19576
0.048 8.35516 7.01073 -0.811924 -9.16709
0.0481 8.33204 6.99315 -0.806502 -9.13854
0.0482 8.30902 6.97565 -0.801108 -9.11013
